Genes	log2FoldChange	pvalue
ABLIM2	5.337666552	6.32E-15
CEP55	-6.55998942	6.39E-15
WIPF2	-2.041102494	6.83E-15
DNAH11	-5.834326057	6.85E-15
GGT5	4.774568511	7.23E-15
ARID5A	4.171426571	7.32E-15
FAM118A	2.629434593	7.49E-15
ARSJ	3.636263436	7.94E-15
STAC3	-4.008659207	8.09E-15
FGFR2	-2.842975245	8.43E-15
KIF2C	-9.811991383	8.75E-15
SGO1	-3.389294116	8.96E-15
WDR17	-3.728145853	8.99E-15
SOAT1	-3.099513051	9.10E-15
ISYNA1	-3.423860403	9.33E-15
LOC102400663	-5.625531708	9.43E-15
CD209	3.901059436	9.54E-15
LOC102392605	-2.565396524	9.83E-15
CCNA1	-9.807570659	9.99E-15
RECQL4	-3.365236412	1.07E-14
TRAF1	3.300022071	1.10E-14
WSB1	1.96916042	1.19E-14
ATAD5	-3.045345074	1.20E-14
LOC102389096	2.606232906	1.28E-14
TFPI2	5.670368526	1.29E-14
SLC66A1	-2.885772182	1.29E-14
LOC123464890	-9.734976972	1.33E-14
ZNF114	-8.521292953	1.34E-14
CSF2RB	4.010114898	1.37E-14
PRDM1	3.254840611	1.37E-14
ITPRID2	2.49370033	1.40E-14
CTNND2	10.50284535	1.52E-14
LOC102396100	-4.746890801	1.52E-14
CHRD	4.352877852	1.54E-14
FAM168A	-2.500606815	1.66E-14
PKP1	4.77435634	1.72E-14
C18H19orf33	6.007237458	1.80E-14
LOC102400351	-6.25181999	1.91E-14
DEPDC1	-9.739414762	2.01E-14
ROBO1	-4.694859626	2.02E-14
SMC4	-2.44226547	2.06E-14
WNT16	-9.718127921	2.12E-14
RAC2	-4.370488033	2.17E-14
MCM7	-2.316386245	2.30E-14
LMNB1	-1.945644251	2.30E-14
TMEM72	-9.587842834	2.37E-14
MAD2L1	-2.350066621	2.41E-14
CASP8	2.570833149	2.45E-14
SLC1A3	-3.251469945	2.48E-14
SCNN1B	3.439034155	2.53E-14
TUBB3	5.158225404	2.64E-14
SLC11A2	-2.477657057	2.88E-14
PLAGL1	3.970315208	2.91E-14
YPEL3	3.417505227	3.17E-14
TGM3	-5.8068388	3.18E-14
NDC1	-2.261963313	3.23E-14
RHBG	-6.866462693	3.25E-14
ORC1	-4.984387548	3.51E-14
CA8	3.600236118	3.59E-14
CENPN	-4.589687441	3.60E-14
CDCA3	-9.535048199	3.84E-14
LOC102397626	5.069605918	3.87E-14
NR4A1	4.744421313	4.19E-14
SCML4	-3.175469882	4.31E-14
LOC102390919	7.558628733	4.68E-14
STRADB	-4.235567153	4.75E-14
LOC102403078	6.430539891	4.79E-14
LOC102395814	2.729798101	4.81E-14
TMEM106C	-3.948409034	4.84E-14
PIP4K2C	-1.918686384	4.89E-14
PCSK1N	6.218845442	4.91E-14
ZC3H6	3.785603122	4.98E-14
UNC13C	-4.560284819	5.16E-14
RUFY3	-2.516141196	5.30E-14
PER1	3.083553401	5.34E-14
PROSER2	3.778891904	5.39E-14
LOC112582972	-5.606127101	5.54E-14
SIX4	-2.525120456	5.62E-14
HYOU1	-2.824444111	6.05E-14
LOC102392295	-9.404018337	6.14E-14
LOC102403840	-3.127523301	6.89E-14
LOC102389540	2.627718895	6.90E-14
NUP205	-2.248617158	6.91E-14
FOSL1	2.582350072	7.56E-14
FAM83D	-6.354496233	7.65E-14
AQP3	-5.709231718	7.83E-14
CENPO	-2.620868465	7.85E-14
LOC102392006	-11.12846831	8.04E-14
SPNS2	3.215763473	8.14E-14
ZBTB24	-2.484556328	8.84E-14
LOC123333806	-9.836188	9.23E-14
CLDN1	2.580915735	9.59E-14
ZMAT3	-2.412402502	9.58E-14
MFSD4B	-2.909580715	9.72E-14
TIAM1	-2.705352053	1.02E-13
PPP2R2B	3.920745358	1.03E-13
KIF14	-5.161630407	1.04E-13
SECTM1	-10.64019795	1.06E-13
LRIG1	4.631960532	1.06E-13
PFN2	2.857534583	1.09E-13
CRYL1	3.728751164	1.12E-13
LOC102392737	-6.043632801	1.18E-13
LOC102412860	-9.814047542	1.23E-13
VSNL1	-5.357954929	1.24E-13
IRX3	2.928509634	1.27E-13
PTPRE	4.481569173	1.36E-13
PLA2G4A	-2.878084926	1.37E-13
PLK4	-3.053381	1.37E-13
HADH	-1.881946852	1.37E-13
TACC3	-2.900460192	1.43E-13
ALOX12	5.055720016	1.50E-13
REXO2	-2.221371839	1.51E-13
TTC39B	-2.541585347	1.53E-13
DAPK1	-2.711948468	1.55E-13
STAT3	3.249875369	1.61E-13
NCAPD2	-2.186130137	1.61E-13
GPNMB	6.574509718	1.62E-13
RGS20	-4.359729547	1.65E-13
MYH6	-8.195725506	1.69E-13
TDRD5	-5.111389961	1.69E-13
LOC102414353	-5.264171686	1.71E-13
ETV5	-3.920455523	1.83E-13
GGH	-3.785071545	1.85E-13
SPRY3	-9.42942488	1.90E-13
AKR1B1	-3.774959615	2.07E-13
GNB4	-1.999658031	2.11E-13
CENPA	-3.501008962	2.15E-13
SDF2L1	-3.114567053	2.21E-13
ITPK1	-3.417676068	2.22E-13
CRELD2	-2.722761501	2.31E-13
LOC102407809	-5.079507193	2.35E-13
CDSN	9.32253024	2.48E-13
RESF1	-2.329956212	2.49E-13
FEN1	-4.455244796	2.52E-13
SPDL1	-3.443336689	2.53E-13
C2CD4B	6.76106489	2.60E-13
PLPP5	-2.223690907	2.92E-13
OSM	10.00879029	2.96E-13
TUBB4A	-7.93318531	3.02E-13
IRF2	2.006365614	3.07E-13
MPZL3	2.225451119	3.17E-13
RAP2C	-2.289864866	3.19E-13
PDPK1	-1.939453094	3.22E-13
CFB	4.802710544	3.23E-13
FAM83F	-2.984921915	3.26E-13
LOC102399346	-8.297477626	3.34E-13
CIDEA	-5.135645971	3.42E-13
ABCA6	6.174553124	3.48E-13
FOXQ1	5.731003053	3.55E-13
LPAR6	-2.940439165	3.64E-13
LOC102412461	-2.310783462	3.66E-13
RRM1	-2.29373264	3.97E-13
RNF223	6.636896954	4.30E-13
AGPAT2	3.29774351	4.51E-13
LOC112577761	-3.557591434	4.54E-13
EPB42	-4.64055901	4.57E-13
EGR2	5.986989109	4.89E-13
GTSE1	-3.218632931	5.23E-13
CNR2	-9.208234551	5.39E-13
DEPDC1B	-9.191142717	5.53E-13
FAF2	-2.069682146	5.63E-13
LOC102408909	5.169487111	5.85E-13
KIF18A	-3.792900523	5.95E-13
IKZF2	2.127449105	6.11E-13
LOC102398746	2.549285094	6.15E-13
OCA2	-9.498213175	6.38E-13
SLC35F2	-5.318528846	6.41E-13
ICAM3	2.588820039	6.63E-13
PNRC1	1.648263649	6.79E-13
SLC25A10	-2.883420406	7.01E-13
CTSB	-2.352524265	7.37E-13
ALDH1A3	4.751812826	7.57E-13
SGO2	-2.711945868	7.61E-13
HAND1	-5.029707564	7.82E-13
RAVER2	-3.02079678	7.87E-13
DLX2	-9.193043821	7.89E-13
RBPMS	3.128498809	8.20E-13
CD68	4.5784374	8.23E-13
TMEM132A	-2.967507901	8.26E-13
LOC102414734	8.735783688	8.39E-13
CBX5	-2.488923384	8.41E-13
LOC102405458	-9.295860129	8.41E-13
RNF130	2.676107157	8.60E-13
PPP1R15A	3.084787435	8.99E-13
SLC20A2	2.40561057	9.17E-13
DGKZ	-2.253868076	9.40E-13
ABL2	3.036783768	9.67E-13
EXTL3	-2.791825088	9.81E-13
LOC112587898	-4.805527871	1.01E-12
MAN1A2	-2.339646812	1.03E-12
B3GALT5	-3.741740827	1.03E-12
SHMT1	-3.177785899	1.05E-12
LOC102389105	5.374240021	1.13E-12
CDKN2B	4.495628766	1.15E-12
PRR11	-9.006469142	1.16E-12
SYNGR1	-3.775323383	1.16E-12
LOC123464720	4.452150755	1.19E-12
NFIL3	3.303609765	1.19E-12
MSLN	3.66041229	1.20E-12
WIPF3	3.631524117	1.22E-12
LOC102409758	4.377899685	1.24E-12
KANK2	2.991280809	1.25E-12
GPAM	-3.660621636	1.26E-12
DDX58	-2.887420138	1.32E-12
BNIP3	2.401334274	1.32E-12
PRKRA	-3.102606791	1.33E-12
PLEKHN1	4.018427561	1.37E-12
CRABP2	5.048672683	1.37E-12
LOC112581023	5.508577505	1.38E-12
TSPO	3.269476149	1.38E-12
ZHX2	3.683715492	1.44E-12
RELB	3.209291074	1.58E-12
CDC25C	-9.071022851	1.60E-12
MALL	5.033826384	1.63E-12
LOC102399021	6.796859327	1.73E-12
LIME1	6.595505974	1.74E-12
PIK3R2	-1.970109628	1.75E-12
FERMT2	-2.045686376	1.76E-12
FABP5	-3.174534606	1.77E-12
FGL2	3.574893665	1.78E-12
LOC102412023	-9.663279954	1.83E-12
CORO1C	-1.99201054	1.85E-12
PTGER4	4.335031263	1.85E-12
AK7	-8.977885329	1.85E-12
EMP1	4.727144419	1.95E-12
CAV1	2.540559239	2.02E-12
DIPK1A	-3.222746003	2.04E-12
LOC112581215	-6.543806401	2.13E-12
BIN2	-2.364583803	2.22E-12
SLC30A5	-1.878758504	2.29E-12
MPEG1	-9.901450805	2.33E-12
METAP1	-1.718881573	2.38E-12
ATP6V1B2	-1.891644103	2.39E-12
HMOX1	1.741256824	2.51E-12
SLC26A4	-8.034754636	2.56E-12
TANC2	-2.536087748	2.57E-12
LOC102402411	-2.742092772	2.76E-12
SEC14L5	4.295462737	2.78E-12
ARPP21	5.327269368	2.79E-12
MUC15	-5.880818724	2.82E-12
TMEM97	-3.124029994	3.00E-12
LOC123331720	-5.746987005	3.02E-12
SLC11A1	7.958827903	3.11E-12
LAMB3	4.816809852	3.16E-12
LOC102390981	4.758854161	3.28E-12
PRDX6	3.166019105	3.30E-12
SHROOM2	-3.579874268	3.31E-12
GPX1	2.682664297	3.33E-12
PHLDB2	2.905605881	3.39E-12
ICOSLG	2.719407158	3.51E-12
PBK	-5.253670506	3.56E-12
TNFSF9	7.888064981	3.83E-12
TGM2	3.355334648	3.87E-12
LOC102409669	-3.886317096	4.10E-12
LOC112579475	8.984746644	4.12E-12
HPGD	-2.966834925	4.23E-12
LOC102391658	-4.111998432	4.26E-12
C5AR1	4.778360194	4.26E-12
CCDC187	8.775793803	4.28E-12
CCNO	-8.894350674	4.43E-12
MICAL1	-2.170939526	4.51E-12
PLEKHA2	1.97229733	4.64E-12
DNAJB11	-1.890810268	4.65E-12
SEMA5A	3.944755719	5.05E-12
ZWINT	-2.91898436	5.40E-12
CENPT	-5.05063281	5.60E-12
LOC102389168	-3.846637286	5.62E-12
LRP1	2.99048436	5.83E-12
LOC102394332	4.236713632	5.99E-12
BCL2L14	-2.610529465	6.00E-12
GPRC5A	5.281500214	6.01E-12
LOC102395225	-2.907638087	6.67E-12
HACD3	-2.786872452	6.69E-12
GJB2	-3.230160778	6.84E-12
LOC102411314	-5.049052601	6.98E-12
DESI2	2.060712389	7.06E-12
SRGAP1	-2.166015778	7.08E-12
SLC25A21	-4.811349041	7.12E-12
LOC112585193	-9.265732248	7.15E-12
KCNJ12	-9.108034432	7.29E-12
LOC102415727	9.191642923	7.29E-12
LOC102406388	-3.103117903	7.28E-12
ENTPD2	-3.940945289	7.32E-12
SIK1	3.49828027	7.43E-12
LOC112581789	-9.363128901	7.48E-12
LOC123332613	-3.365778409	7.71E-12
ATP10A	4.603225092	7.78E-12
VPS37C	-2.503130772	7.81E-12
HEATR5B	-2.063936695	7.96E-12
UAP1L1	-2.864662242	8.19E-12
EPHB6	-5.340864782	8.27E-12
LRP8	-2.55007142	8.34E-12
PPL	3.653520071	8.85E-12
RRAD	4.279944842	9.07E-12
LOC112585657	-8.616125087	9.10E-12
SFRP2	-4.553654117	9.16E-12
LRRC10B	4.730308177	9.23E-12
DNAJC6	-2.977850552	1.00E-11
LOC112587908	-5.325037544	1.03E-11
LOC102389481	4.377076572	1.04E-11
MYO9A	-1.827468084	1.12E-11
C1QC	4.952619313	1.19E-11
PLEKHO2	2.968114967	1.19E-11
IFT81	3.260462464	1.19E-11
LOC102396422	-1.812288138	1.20E-11
NIBAN2	1.999969732	1.23E-11
TGFBI	3.886632531	1.24E-11
HMGCS1	-2.130153391	1.25E-11
FBXO6	-2.608856188	1.26E-11
USP30	-1.798581481	1.28E-11
IDS	3.183635956	1.29E-11
ARL6IP1	-2.095875301	1.32E-11
SLC52A3	-4.619901103	1.34E-11
CWH43	-4.955883059	1.37E-11
LOC112577762	9.719733879	1.40E-11
COTL1	-2.897285108	1.44E-11
GLCE	2.947383819	1.47E-11
PDE8B	4.533580451	1.48E-11
ENPP5	2.336469968	1.56E-11
RHAG	-8.814241667	1.57E-11
GABRB2	-5.594643982	1.58E-11
FOXM1	-8.64536347	1.59E-11
EXD2	-2.461163009	1.59E-11
RHOBTB2	-2.901976179	1.60E-11
KIAA0040	-1.920074256	1.60E-11
LOC102406111	5.974107682	1.64E-11
SPTLC3	-3.471620214	1.64E-11
E2F1	-4.804487613	1.67E-11
CNGA3	5.01378104	1.70E-11
CDC25A	-2.280509171	1.71E-11
PTPRC	4.103936589	1.76E-11
CRISPLD1	-4.932910788	1.77E-11
PXDC1	-1.995880909	1.84E-11
SALL4	-9.659900981	1.87E-11
SLC1A4	-3.08814961	1.87E-11
FUT8	-2.343007029	1.88E-11
PRKAR2A	-1.870993335	1.89E-11
ELOVL2	-9.268410583	2.03E-11
DENND1B	-2.099322406	2.09E-11
ITPR3	2.684079573	2.13E-11
CCN2	3.130408197	2.16E-11
B4GALT5	-1.833212118	2.21E-11
DOLPP1	-2.715596483	2.26E-11
SLC39A1	-1.786331912	2.27E-11
RAB27A	3.310071803	2.28E-11
ME3	4.267066783	2.28E-11
KRT78	9.659637025	2.30E-11
LOC102406873	-3.535522947	2.36E-11
ZBTB10	-2.215149254	2.42E-11
TET1	-3.754147992	2.53E-11
LPAR2	-2.745296145	2.60E-11
FAM219A	-3.391701807	2.61E-11
LOC102413318	-4.483536882	2.62E-11
HRCT1	4.5150484	2.71E-11
PYGL	2.404430141	2.71E-11
EXO1	-8.535608074	2.89E-11
EYA3	-1.837483361	2.94E-11
CD82	3.34809167	2.97E-11
LRIG3	4.752463156	2.98E-11
PLEK	3.318052191	3.29E-11
IRX5	8.757089763	3.29E-11
DPYSL3	2.889784592	3.37E-11
FERMT1	-2.449581463	3.37E-11
LOC102415381	-8.305638382	3.40E-11
TNNT3	7.600390613	3.45E-11
TTN	-4.457802884	3.49E-11
LOC112582991	-2.13424522	3.53E-11
LOC112587907	-3.22557176	3.55E-11
MGAT5	-2.272828437	3.59E-11
SP140	2.358995544	3.70E-11
LOC102403291	4.719429881	3.70E-11
ITM2B	2.413713251	3.69E-11
WNT5B	5.058718299	3.71E-11
CFTR	3.170058546	3.76E-11
YBX3	3.182605635	3.82E-11
LOC102416634	-8.514409946	3.86E-11
CAVIN3	3.684357133	3.94E-11
RGS2	2.54554593	4.02E-11
MYMK	5.193758071	4.10E-11
CFAP36	2.88453224	4.15E-11
CPN1	-8.885441054	4.15E-11
PCLAF	-5.922862605	4.24E-11
PRRX2	4.624575786	4.28E-11
MOCOS	2.756197578	4.31E-11
TXNDC11	-1.795007351	4.38E-11
RHCG	-8.90328448	4.42E-11
SPC25	-4.727464317	4.52E-11
LOC102403665	2.729043668	4.58E-11
DHCR24	-3.414519989	4.60E-11
ZNF385A	-2.883506609	4.73E-11
NLRP1	3.143637944	4.75E-11
LOC102401424	4.831860901	5.12E-11
HMGA1	-2.98317555	5.13E-11
LOC112580984	4.126809239	5.15E-11
LOC102411659	-4.747649125	5.22E-11
SAMD4A	2.483785859	5.21E-11
EID3	2.884898684	5.74E-11
TOM1L1	3.664686042	5.83E-11
MEFV	5.229031696	5.91E-11
AXIN2	-2.757646079	6.00E-11
CALR	-2.047086907	6.00E-11
THBS2	6.043891446	6.23E-11
EZH2	-2.159181343	6.23E-11
LOC112578693	-13.74093563	6.25E-11
TMEM92	-8.334431392	6.46E-11
LOC102390532	2.982049371	6.62E-11
DDIAS	-2.66939083	6.64E-11
CPAMD8	-5.778839629	6.69E-11
CBX2	-3.30206236	6.70E-11
ARHGEF3	2.823742468	6.71E-11
PRPS2	-2.149302058	6.71E-11
F2R	-2.311982156	6.87E-11
REEP5	-1.780566386	7.05E-11
TNNT2	6.025026347	7.30E-11
RAPGEFL1	2.968756977	7.44E-11
BCL3	2.735455669	7.60E-11
RNF128	-3.335414293	7.63E-11
DLX4	-2.436908649	7.86E-11
SFXN1	-2.411452616	7.92E-11
GJB1	-8.517950199	8.06E-11
HSPA5	-1.762073441	8.20E-11
STK3	-1.815333309	8.22E-11
LOC102402543	-13.98184277	8.23E-11
LOC102406900	4.000830566	8.26E-11
EPM2AIP1	-2.674450885	8.30E-11
RETREG1	2.217368693	8.32E-11
DNAH17	4.333320001	8.35E-11
MSX1	-3.096338399	8.41E-11
ABCC5	-3.204769942	8.44E-11
DEXI	-2.326192173	8.59E-11
PLCL2	-2.282085405	9.13E-11
FBP1	-5.787834065	9.50E-11
OGFRL1	3.174665493	9.59E-11
CD101	-3.081849619	9.71E-11
AQP11	-6.278487839	9.73E-11
LOC102414808	-7.609343567	9.89E-11
HSP90B1	-1.571540922	1.02E-10
STAB2	-8.396069747	1.02E-10
HIVEP2	2.891755582	1.02E-10
LOC102414555	9.79742933	1.11E-10
LOC102391353	-2.774356165	1.12E-10
UGP2	1.973253729	1.15E-10
EIF2B2	-1.965353598	1.16E-10
SLC6A12	8.76797587	1.17E-10
DLX5	-3.52244509	1.17E-10
WHRN	-4.645355844	1.19E-10
LOC102410341	-2.677361212	1.20E-10
TMEM54	-3.493562657	1.23E-10
TBC1D9	2.230414591	1.25E-10
IGF2	3.146281218	1.26E-10
POLA2	-2.88314187	1.33E-10
MLXIPL	-4.459782439	1.33E-10
ABHD6	-2.342012752	1.34E-10
ANO6	2.579045491	1.38E-10
SHISAL2A	-7.59559136	1.39E-10
SGPL1	-1.887784887	1.46E-10
MCTP2	-3.257393632	1.47E-10
MSX2	-3.466471441	1.50E-10
DHRS7	3.966142166	1.52E-10
WDFY1	1.516536303	1.52E-10
LOC112587924	-8.477890639	1.53E-10
LOC112582078	-8.471511867	1.56E-10
NPAS1	8.825833501	1.57E-10
HDAC2	1.716973531	1.57E-10
C5H1orf115	-2.820521146	1.58E-10
TK1	-2.763328143	1.61E-10
UTS2	-8.407871066	1.61E-10
ANXA11	-1.582082224	1.68E-10
MGAT4A	-2.222889987	1.68E-10
LMOD1	5.715230969	1.76E-10
ESYT3	3.038148653	1.79E-10
RHOB	2.622539757	1.81E-10
LOC102398703	-3.605584076	1.80E-10
CRACR2A	4.378520975	1.82E-10
RAD51AP1	-4.238248179	1.85E-10
CD14	4.052845426	1.85E-10
MCTP1	4.811082203	1.88E-10
IDH1	-2.155455328	2.04E-10
COL7A1	3.444298116	2.04E-10
PFKL	1.835963143	2.05E-10
STAB1	2.583882582	2.05E-10
SPEG	3.884627389	2.07E-10
RORA	3.950900347	2.08E-10
CCDC87	-3.793953171	2.10E-10
DHFR	-2.768173194	2.11E-10
PGLYRP4	8.896287873	2.15E-10
LFNG	3.344900996	2.17E-10
TMSB10	-2.583720667	2.21E-10
EPHA7	2.225349314	2.23E-10
GCNT4	-2.894826945	2.24E-10
LOC102390977	-3.188540462	2.26E-10
RBBP8	-1.978188069	2.30E-10
RAPGEF5	-4.074383922	2.30E-10
HEATR5A	-2.289305463	2.30E-10
KCTD11	1.840205807	2.32E-10
FAM162A	3.498325797	2.44E-10
NDEL1	1.839172715	2.52E-10
WEE1	-1.829710535	2.57E-10
SYK	2.694211697	2.58E-10
SPTA1	-7.513164804	2.58E-10
GNA15	2.31365621	2.60E-10
FAM210B	1.903203442	2.60E-10
LOC123464718	6.187728324	2.65E-10
FAM110C	2.269768748	2.65E-10
FAM83G	3.078998756	2.68E-10
ORC5	-2.540254053	2.74E-10
ALG9	-2.12015753	2.74E-10
GLIS3	4.338229162	2.77E-10
PHLDA1	3.096954317	2.77E-10
IRF1	4.150440121	2.81E-10
SLC30A4	-2.647634486	2.87E-10
LOC102415319	3.997524452	2.97E-10
SRC	-1.828799794	2.98E-10
S100A2	4.079230867	3.00E-10
TDRD1	-8.949218823	3.01E-10
LOC102389940	-3.118516123	3.14E-10
PTPRH	-2.997597488	3.14E-10
HEBP2	3.807454361	3.28E-10
DDIT4	3.60902209	3.37E-10
MACC1	3.449867433	3.47E-10
LOC102412535	6.950194934	3.50E-10
PPM1K	-2.326983589	3.65E-10
LMNB2	-2.018221107	3.70E-10
MTR	-2.320618187	3.83E-10
LOC102395921	-4.139234335	3.95E-10
EXOG	-3.731172182	3.97E-10
CBX7	2.771590777	3.98E-10
ITGB8	3.868371823	3.98E-10
PLXDC2	3.325759894	3.99E-10
HES2	-2.779106578	4.06E-10
CD9	1.725285816	4.32E-10
PSPH	-4.06137281	4.35E-10
LOC112585774	8.524643183	4.36E-10
SLC37A1	-1.927163347	4.37E-10
FAM81A	-4.972254721	4.48E-10
ADCY7	2.469453163	4.49E-10
LOC102391650	-8.280325259	4.58E-10
AUTS2	3.376312399	4.60E-10
PRRG4	-2.17420631	4.74E-10
LOC112586847	-8.136937903	4.82E-10
LOC102399599	-9.948361629	4.93E-10
ADGRD1	3.268193473	4.93E-10
CLCN5	-1.540220795	4.93E-10
WDR72	-5.040994759	5.03E-10
RCN1	-1.964843045	5.04E-10
STIM2	-2.055755953	5.14E-10
LY9	4.242139315	5.23E-10
PLCG2	-2.949863046	5.24E-10
TM4SF1	-1.667097167	5.39E-10
RTL5	-2.795889857	5.50E-10
WWC1	-1.433388549	5.70E-10
PRKX	-1.822766403	5.77E-10
LOC102415426	-11.38789393	5.84E-10
FAM20B	-2.071073345	5.86E-10
ARHGAP32	-1.615314228	6.02E-10
KLK10	7.34606338	6.06E-10
H1-1	-5.074336186	6.18E-10
AGAP3	-2.257059318	6.18E-10
TMEM245	-1.955347047	6.30E-10
LOC112586931	-8.476046385	6.36E-10
CES5A	-8.305716495	6.36E-10
VILL	4.825469257	6.36E-10
MATN4	6.08766409	6.55E-10
LOC102410816	-8.46315661	6.60E-10
MAFB	3.198595424	6.69E-10
RHPN2	-2.193312091	6.69E-10
TP53INP1	-2.694830897	6.82E-10
TENT5B	3.994486613	6.96E-10
MUC5B	4.685197993	7.19E-10
TFAP2A	-1.708983074	7.30E-10
SLC40A1	-2.065063649	7.36E-10
ADA	-3.994799789	7.40E-10
CEP170B	-1.920269802	7.72E-10
FOXC2	5.302509535	7.88E-10
RAB24	1.852965994	7.89E-10
NENF	2.17256482	7.93E-10
SLA	5.937018332	8.10E-10
ABCC6	-3.639566403	8.10E-10
ZFHX3	-2.746856796	8.13E-10
LOC102410003	-6.383163284	8.14E-10
OTULIN	-1.661853762	8.17E-10
RGS7	3.13099299	8.54E-10
GFRA2	3.937445231	8.56E-10
UPP1	5.077258068	8.55E-10
LOC123332820	-8.040214489	8.66E-10
MIR9-1HG	-8.157821916	8.81E-10
REPS1	-2.043305419	8.93E-10
RIPK3	4.199688634	9.08E-10
PLD6	-8.105773767	9.12E-10
LOC102397008	3.03196139	9.62E-10
TRIM14	3.127386578	9.67E-10
ACP5	3.57663182	9.72E-10
LOC112582095	-3.791800157	9.99E-10
ARID3A	-1.706365255	1.01E-09
MCM5	-2.473470818	1.04E-09
UHRF1	-3.991284094	1.05E-09
RAB3D	1.961670718	1.06E-09
IRX2	8.880013515	1.08E-09
TRNP1	4.292151575	1.10E-09
IDH3A	1.614960322	1.13E-09
CEP112	2.093440504	1.14E-09
SLC44A2	-1.788129607	1.14E-09
PLEKHA8	-2.263634814	1.14E-09
MAPK9	-2.132853587	1.15E-09
LOC102398505	7.187638707	1.16E-09
KIF24	-2.791856006	1.19E-09
LRRC1	1.740578186	1.23E-09
PKIA	-2.838211304	1.30E-09
MAPK4	-2.687045515	1.31E-09
LIN28B	-7.09414325	1.32E-09
LDLRAD4	3.16757905	1.34E-09
SIGLEC10	2.010176889	1.34E-09
HPSE	-3.361068733	1.35E-09
TSC22D1	1.886406615	1.37E-09
CHTF18	-8.038500549	1.42E-09
LOC123332240	4.891966159	1.43E-09
ABHD3	-2.566759979	1.46E-09
CCND3	2.314569606	1.47E-09
IL7R	7.69509429	1.47E-09
NRG2	-3.429287103	1.48E-09
GGT6	4.106449269	1.48E-09
SLC25A13	-2.537061363	1.48E-09
SLC2A1	2.299447752	1.49E-09
TRPV3	5.217349104	1.51E-09
NUF2	-3.174908959	1.51E-09
DAO	-8.270467973	1.51E-09
ZNF518A	-1.851050996	1.54E-09
ARHGEF28	-2.054346963	1.55E-09
PRKG2	-6.04124966	1.55E-09
LOC102411811	2.185321199	1.56E-09
CITED2	-1.462624914	1.60E-09
SMIM1	-2.133434615	1.66E-09
SLC23A1	1.589077013	1.67E-09
LOC102402274	-6.06252837	1.70E-09
VEGFA	2.091042514	1.74E-09
ARHGAP9	-3.979312977	1.77E-09
SRL	4.650770348	1.79E-09
MFAP4	3.714680486	1.84E-09
SNAP29	-1.866097777	1.90E-09
NFKB2	2.290763387	1.91E-09
RYR3	-4.669198299	1.92E-09
JPH4	-8.104419534	1.94E-09
PIP4K2A	-2.05670887	2.03E-09
PLEKHO1	3.049024488	2.06E-09
DHRS11	-2.079675362	2.06E-09
BAIAP2L1	-2.237778076	2.09E-09
MTURN	1.848985838	2.16E-09
SLC27A5	7.055920642	2.18E-09
MXRA8	2.573474315	2.21E-09
LOC102402803	8.18194436	2.27E-09
LOC102409528	3.450430445	2.29E-09
HACD2	-1.974298742	2.30E-09
TLCD3A	-2.456181129	2.35E-09
LRRC8D	-2.433351734	2.37E-09
LOC102392047	-2.498185329	2.41E-09
DNAJC9	-2.115862894	2.52E-09
PAXX	2.586997232	2.53E-09
SLC30A2	-8.233633495	2.55E-09
EDEM3	-1.475947258	2.56E-09
NRK	-7.949124448	2.56E-09
FIGN	-2.856914776	2.61E-09
SLC22A23	-2.134628167	2.61E-09
CLIP2	-2.233680905	2.61E-09
LOC102398705	-2.248605342	2.70E-09
GABRB3	12.61389276	2.70E-09
SLC16A13	-2.608788745	2.71E-09
KRT5	7.635020578	2.73E-09
NCKAP1L	-2.879467674	2.75E-09
PXYLP1	-2.085859635	2.82E-09
ARMC12	8.379412578	2.82E-09
FZD2	3.395121311	2.82E-09
SPHK1	3.59863351	2.94E-09
HIP1	3.235579705	2.99E-09
LOC102400588	5.584509559	3.00E-09
TNKS2	-1.915626592	3.00E-09
RASGEF1B	1.943780338	3.03E-09
CHCHD6	4.406899755	3.10E-09
ADARB1	3.336090086	3.30E-09
SLC38A9	-2.336457158	3.35E-09
TRABD2B	-2.491303892	3.40E-09
SLC41A1	2.81619041	3.45E-09
LOC112586693	4.613424689	3.46E-09
AATK	4.060150979	3.47E-09
CLCF1	4.549406905	3.54E-09
LIN9	-2.501566234	3.55E-09
LOC102409576	-8.020285353	3.63E-09
SLC5A1	5.881988376	3.63E-09
LOC102392661	-8.600934468	3.64E-09
SFXN2	-2.474285891	3.65E-09
LOC112580321	-8.638446717	3.69E-09
LZTS1	-3.189909631	3.71E-09
SLC27A6	-7.89945635	3.79E-09
CH25H	8.169625658	3.88E-09
SGK2	-6.930480553	3.89E-09
LOC102411322	-3.939529974	3.90E-09
TBX20	-2.948620278	3.92E-09
LOXL1	2.752937064	3.99E-09
SPNS1	-2.018718106	4.03E-09
LOC123465919	4.761801958	4.14E-09
CISH	2.263567256	4.16E-09
PPP1R3C	3.462360614	4.20E-09
BRIP1	-2.670511256	4.23E-09
SPPL3	-1.981453058	4.27E-09
ARHGEF5	-1.814711107	4.27E-09
SLC39A9	-1.435500608	4.34E-09
TPI1	1.481479757	4.49E-09
LOC123332823	4.668092437	4.52E-09
LOC123465772	-7.805279483	4.56E-09
DPAGT1	-1.808494761	4.68E-09
ADGRA3	-2.136129934	4.76E-09
MSI2	2.547909586	4.77E-09
S100B	6.591118995	4.88E-09
